"날짜","종가","오픈","고가","저가","변동 %"
"2020년 03월 16일","1,232.87","1,212.10","1,233.58","1,209.23","1.74%"
"2020년 03월 13일","1,211.78","1,211.21","1,226.75","1,205.25","0.05%"
"2020년 03월 12일","1,211.21","1,193.07","1,213.95","1,191.43","1.55%"
"2020년 03월 11일","1,192.71","1,185.74","1,197.73","1,184.07","0.59%"
"2020년 03월 10일","1,185.75","1,201.03","1,201.55","1,184.55","-1.26%"
"2020년 03월 09일","1,200.94","1,188.66","1,206.26","1,188.56","1.02%"
"2020년 03월 06일","1,188.80","1,188.82","1,194.35","1,184.86","-0.00%"
"2020년 03월 05일","1,188.82","1,184.96","1,192.53","1,179.80","0.30%"
"2020년 03월 04일","1,185.23","1,181.00","1,189.11","1,181.00","0.36%"
"2020년 03월 03일","1,181.00","1,190.11","1,196.15","1,178.76","-0.73%"
"2020년 03월 02일","1,189.71","1,200.21","1,207.15","1,188.11","-0.88%"
"2020년 02월 28일","1,200.32","1,212.75","1,218.21","1,198.98","-1.02%"
"2020년 02월 27일","1,212.68","1,212.36","1,218.42","1,206.53","-0.01%"
"2020년 02월 26일","1,212.81","1,216.04","1,220.69","1,211.92","-0.27%"
"2020년 02월 25일","1,216.04","1,219.58","1,220.27","1,209.10","-0.26%"
"2020년 02월 24일","1,219.17","1,206.96","1,222.52","1,206.96","1.00%"
"2020년 02월 21일","1,207.07","1,204.87","1,214.83","1,202.81","0.15%"
"2020년 02월 20일","1,205.21","1,193.00","1,208.91","1,191.68","1.02%"
"2020년 02월 19일","1,193.00","1,191.45","1,193.89","1,187.72","0.16%"
"2020년 02월 18일","1,191.04","1,185.36","1,192.10","1,183.85","0.48%"
"2020년 02월 17일","1,185.36","1,183.14","1,185.36","1,179.20","0.16%"
"2020년 02월 14일","1,183.46","1,184.59","1,186.34","1,180.94","-0.09%"
"2020년 02월 13일","1,184.58","1,179.51","1,185.03","1,178.78","0.43%"
"2020년 02월 12일","1,179.51","1,182.29","1,184.79","1,176.80","-0.23%"
"2020년 02월 11일","1,182.25","1,188.17","1,188.88","1,181.05","-0.50%"
"2020년 02월 10일","1,188.17","1,192.39","1,194.90","1,185.73","-0.35%"
"2020년 02월 07일","1,192.39","1,186.28","1,196.69","1,185.35","0.52%"
"2020년 02월 06일","1,186.28","1,184.40","1,186.88","1,178.32","0.16%"
"2020년 02월 05일","1,184.40","1,183.90","1,193.34","1,180.64","0.04%"
"2020년 02월 04일","1,183.90","1,190.74","1,194.84","1,183.90","-0.58%"
"2020년 02월 03일","1,190.79","1,195.96","1,199.85","1,190.53","-0.43%"
"2020년 01월 31일","1,195.97","1,188.64","1,198.90","1,184.56","0.62%"
"2020년 01월 30일","1,188.64","1,179.68","1,194.03","1,178.74","0.76%"
"2020년 01월 29일","1,179.68","1,177.11","1,180.81","1,174.53","0.30%"
"2020년 01월 28일","1,176.11","1,177.10","1,181.69","1,174.86","-0.14%"
"2020년 01월 27일","1,177.70","1,170.24","1,180.24","1,170.20","0.64%"
"2020년 01월 24일","1,170.20","1,169.41","1,171.10","1,166.55","0.06%"
"2020년 01월 23일","1,169.54","1,165.76","1,171.17","1,164.65","0.32%"
"2020년 01월 22일","1,165.76","1,170.01","1,170.20","1,162.30","-0.36%"
"2020년 01월 21일","1,170.01","1,159.61","1,171.11","1,158.19","0.90%"
"2020년 01월 20일","1,159.61","1,161.46","1,162.70","1,156.56","-0.16%"
"2020년 01월 17일","1,161.44","1,161.03","1,162.29","1,156.82","0.06%"
"2020년 01월 16일","1,160.73","1,158.91","1,162.24","1,157.34","0.16%"
"2020년 01월 15일","1,158.91","1,158.20","1,163.40","1,156.27","0.06%"
"2020년 01월 14일","1,158.20","1,154.95","1,160.14","1,151.11","0.28%"
"2020년 01월 13일","1,154.95","1,158.92","1,160.00","1,153.90","-0.35%"
"2020년 01월 10일","1,158.97","1,159.73","1,164.74","1,158.09","-0.06%"
"2020년 01월 09일","1,159.72","1,163.34","1,164.00","1,158.34","-0.23%"
"2020년 01월 08일","1,162.41","1,167.46","1,179.40","1,160.16","-0.50%"
"2020년 01월 07일","1,168.30","1,167.54","1,169.15","1,163.70","0.06%"
"2020년 01월 06일","1,167.56","1,165.51","1,173.41","1,165.48","0.14%"
"2020년 01월 03일","1,165.95","1,158.85","1,169.24","1,156.27","0.69%"
"2020년 01월 02일","1,157.94","1,154.62","1,160.93","1,153.66","0.25%"
"2020년 01월 01일","1,155.02","1,155.07","1,155.56","1,154.23","-0.00%"
"2019년 12월 31일","1,155.07","1,157.97","1,159.19","1,153.14","-0.25%"
"2019년 12월 30일","1,157.97","1,160.97","1,161.30","1,154.89","-0.15%"
"2019년 12월 27일","1,159.68","1,162.15","1,162.83","1,158.12","-0.23%"
"2019년 12월 26일","1,162.30","1,161.04","1,163.42","1,160.34","0.13%"
"2019년 12월 25일","1,160.76","1,163.52","1,164.09","1,160.68","-0.24%"
"2019년 12월 24일","1,163.52","1,164.04","1,166.61","1,160.71","-0.04%"
"2019년 12월 23일","1,164.04","1,159.39","1,165.20","1,159.38","0.40%"
"2019년 12월 20일","1,159.40","1,163.23","1,166.05","1,157.87","-0.33%"
"2019년 12월 19일","1,163.27","1,167.62","1,168.24","1,163.03","-0.29%"
"2019년 12월 18일","1,166.66","1,163.24","1,168.89","1,161.99","0.22%"
"2019년 12월 17일","1,164.15","1,168.48","1,170.80","1,162.60","-0.37%"
"2019년 12월 16일","1,168.48","1,176.90","1,177.90","1,167.98","-0.66%"
"2019년 12월 13일","1,176.21","1,172.81","1,178.74","1,168.44","0.28%"
"2019년 12월 12일","1,172.89","1,189.61","1,192.70","1,170.73","-1.41%"
"2019년 12월 11일","1,189.61","1,190.49","1,196.14","1,189.61","-0.07%"
"2019년 12월 10일","1,190.49","1,191.43","1,194.86","1,189.60","-0.01%"
"2019년 12월 09일","1,190.55","1,186.31","1,193.21","1,186.01","0.37%"
"2019년 12월 06일","1,186.21","1,188.62","1,192.74","1,185.63","-0.23%"
"2019년 12월 05일","1,188.92","1,192.18","1,193.65","1,187.95","-0.20%"
"2019년 12월 04일","1,191.32","1,188.94","1,195.88","1,187.80","0.11%"
"2019년 12월 03일","1,190.06","1,185.48","1,193.99","1,184.40","0.36%"
"2019년 12월 02일","1,185.78","1,181.96","1,187.61","1,178.35","0.35%"
"2019년 11월 29일","1,181.70","1,179.13","1,183.16","1,177.91","0.24%"
"2019년 11월 28일","1,178.82","1,176.71","1,181.10","1,175.98","0.16%"
"2019년 11월 27일","1,176.97","1,173.42","1,179.19","1,172.63","0.31%"
"2019년 11월 26일","1,173.32","1,173.80","1,179.21","1,170.70","-0.05%"
"2019년 11월 25일","1,173.90","1,180.75","1,180.77","1,173.10","-0.54%"
"2019년 11월 22일","1,180.33","1,177.65","1,181.42","1,175.52","0.29%"
"2019년 11월 21일","1,176.86","1,170.23","1,179.31","1,169.56","0.52%"
"2019년 11월 20일","1,170.82","1,168.35","1,172.71","1,167.73","0.21%"
"2019년 11월 19일","1,168.35","1,167.23","1,171.23","1,165.83","0.10%"
"2019년 11월 18일","1,167.23","1,163.90","1,168.56","1,162.93","0.31%"
"2019년 11월 15일","1,163.65","1,169.08","1,170.31","1,163.41","-0.46%"
"2019년 11월 14일","1,169.08","1,172.39","1,173.17","1,168.62","-0.21%"
"2019년 11월 13일","1,171.51","1,165.95","1,173.91","1,164.71","0.43%"
"2019년 11월 12일","1,166.53","1,165.46","1,167.34","1,160.68","0.09%"
"2019년 11월 11일","1,165.45","1,159.25","1,167.68","1,158.45","0.58%"
"2019년 11월 08일","1,158.76","1,154.47","1,159.37","1,153.74","0.30%"
"2019년 11월 07일","1,155.31","1,161.43","1,163.60","1,153.11","-0.54%"
"2019년 11월 06일","1,161.58","1,156.99","1,162.98","1,155.99","0.41%"
"2019년 11월 05일","1,156.82","1,163.86","1,163.94","1,154.35","-0.53%"
"2019년 11월 04일","1,162.95","1,164.53","1,164.53","1,157.51","-0.16%"
"2019년 11월 01일","1,164.80","1,169.37","1,171.13","1,163.49","-0.46%"
"2019년 10월 31일","1,170.24","1,165.41","1,171.72","1,159.80","0.41%"
"2019년 10월 30일","1,165.41","1,168.39","1,171.00","1,164.91","-0.18%"
"2019년 10월 29일","1,167.55","1,167.78","1,169.74","1,162.47","-0.09%"
"2019년 10월 28일","1,168.61","1,172.10","1,172.20","1,168.01","-0.27%"
"2019년 10월 25일","1,171.82","1,175.28","1,175.96","1,170.91","-0.29%"
"2019년 10월 24일","1,175.21","1,169.77","1,175.21","1,166.99","0.39%"
"2019년 10월 23일","1,170.67","1,173.07","1,177.30","1,170.48","-0.21%"
"2019년 10월 22일","1,173.09","1,173.33","1,175.00","1,169.87","0.05%"
"2019년 10월 21일","1,172.49","1,178.65","1,180.56","1,168.83","-0.54%"
"2019년 10월 18일","1,178.91","1,179.07","1,183.19","1,178.62","-0.01%"
"2019년 10월 17일","1,179.07","1,185.98","1,188.07","1,175.15","-0.63%"
"2019년 10월 16일","1,186.51","1,185.79","1,191.32","1,184.30","0.14%"
"2019년 10월 15일","1,184.88","1,183.79","1,186.83","1,181.88","0.02%"
"2019년 10월 14일","1,184.70","1,183.40","1,187.23","1,180.80","0.10%"
"2019년 10월 11일","1,183.48","1,190.74","1,193.10","1,178.29","-0.59%"
"2019년 10월 10일","1,190.46","1,198.50","1,202.08","1,189.45","-0.67%"
"2019년 10월 09일","1,198.50","1,200.02","1,200.40","1,196.80","-0.13%"
"2019년 10월 08일","1,200.02","1,197.33","1,200.31","1,192.51","0.22%"
"2019년 10월 07일","1,197.33","1,192.30","1,198.92","1,192.30","0.43%"
"2019년 10월 04일","1,192.25","1,201.89","1,203.58","1,191.85","-0.80%"
"2019년 10월 03일","1,201.89","1,205.37","1,206.99","1,201.45","-0.29%"
"2019년 10월 02일","1,205.37","1,203.37","1,207.89","1,201.50","0.17%"
"2019년 10월 01일","1,203.37","1,199.09","1,204.61","1,196.62","0.36%"
"2019년 09월 30일","1,199.09","1,203.18","1,204.30","1,195.90","-0.32%"
"2019년 09월 27일","1,202.99","1,201.23","1,204.02","1,197.20","0.21%"
"2019년 09월 26일","1,200.46","1,199.82","1,203.29","1,197.99","0.05%"
"2019년 09월 25일","1,199.82","1,195.53","1,202.67","1,194.50","0.36%"
"2019년 09월 24일","1,195.53","1,195.04","1,199.06","1,192.75","0.04%"
"2019년 09월 23일","1,195.04","1,194.14","1,199.39","1,191.00","0.08%"
"2019년 09월 20일","1,194.13","1,195.35","1,196.30","1,187.40","-0.10%"
"2019년 09월 19일","1,195.35","1,191.78","1,198.00","1,190.50","0.30%"
"2019년 09월 18일","1,191.73","1,187.62","1,195.07","1,187.04","0.35%"
"2019년 09월 17일","1,187.62","1,185.02","1,191.70","1,183.79","0.22%"
"2019년 09월 16일","1,185.02","1,181.80","1,186.60","1,181.80","0.45%"
"2019년 09월 13일","1,179.72","1,182.44","1,184.72","1,175.75","-0.23%"
"2019년 09월 12일","1,182.44","1,190.68","1,191.61","1,177.90","-0.69%"
"2019년 09월 11일","1,190.68","1,192.35","1,195.51","1,189.40","-0.07%"
"2019년 09월 10일","1,191.51","1,192.09","1,193.86","1,188.76","-0.12%"
"2019년 09월 09일","1,192.93","1,192.87","1,195.88","1,189.29","0.01%"
"2019년 09월 06일","1,192.77","1,198.03","1,199.40","1,189.80","-0.44%"
"2019년 09월 05일","1,198.02","1,204.14","1,205.48","1,195.70","-0.55%"
"2019년 09월 04일","1,204.63","1,211.54","1,213.00","1,203.60","-0.57%"
"2019년 09월 03일","1,211.54","1,214.67","1,217.80","1,211.24","-0.25%"
"2019년 09월 02일","1,214.61","1,210.05","1,215.58","1,209.90","0.34%"
"2019년 08월 30일","1,210.50","1,209.12","1,212.58","1,206.99","0.11%"
"2019년 08월 29일","1,209.12","1,213.29","1,217.88","1,207.90","-0.34%"
"2019년 08월 28일","1,213.29","1,212.74","1,216.08","1,211.74","0.05%"
"2019년 08월 27일","1,212.74","1,212.74","1,216.38","1,210.70","0.00%"
"2019년 08월 26일","1,212.74","1,213.65","1,221.50","1,212.46","-0.08%"
"2019년 08월 23일","1,213.66","1,211.28","1,217.93","1,207.56","0.27%"
"2019년 08월 22일","1,210.42","1,202.49","1,212.22","1,202.49","0.66%"
"2019년 08월 21일","1,202.44","1,206.40","1,210.36","1,199.50","-0.33%"
"2019년 08월 20일","1,206.40","1,212.62","1,214.30","1,206.00","-0.51%"
"2019년 08월 19일","1,212.62","1,208.49","1,214.31","1,208.49","0.34%"
"2019년 08월 16일","1,208.47","1,213.33","1,216.30","1,205.50","-0.40%"
"2019년 08월 15일","1,213.33","1,216.86","1,219.76","1,212.70","-0.29%"
"2019년 08월 14일","1,216.86","1,206.64","1,219.40","1,206.20","0.85%"
"2019년 08월 13일","1,206.64","1,219.14","1,224.96","1,206.01","-1.03%"
"2019년 08월 12일","1,219.14","1,214.72","1,221.14","1,214.15","0.39%"
"2019년 08월 09일","1,214.45","1,208.08","1,217.48","1,207.15","0.53%"
"2019년 08월 08일","1,208.08","1,213.87","1,216.60","1,206.31","-0.41%"
"2019년 08월 07일","1,213.02","1,212.58","1,219.80","1,211.14","-0.03%"
"2019년 08월 06일","1,213.43","1,218.33","1,221.13","1,209.70","-0.40%"
"2019년 08월 05일","1,218.33","1,205.82","1,221.29","1,203.00","1.14%"
"2019년 08월 02일","1,204.61","1,195.48","1,207.09","1,190.90","0.69%"
"2019년 08월 01일","1,196.38","1,188.32","1,198.32","1,186.48","0.68%"
"2019년 07월 31일","1,188.32","1,182.04","1,189.58","1,180.33","0.59%"
"2019년 07월 30일","1,181.38","1,182.94","1,184.23","1,178.63","-0.20%"
"2019년 07월 29일","1,183.71","1,184.11","1,186.51","1,180.80","-0.04%"
"2019년 07월 26일","1,184.24","1,184.16","1,187.12","1,181.80","0.01%"
"2019년 07월 25일","1,184.16","1,178.41","1,185.57","1,177.80","0.49%"
"2019년 07월 24일","1,178.41","1,179.90","1,181.40","1,176.60","-0.13%"
"2019년 07월 23일","1,179.89","1,176.87","1,181.10","1,175.75","0.26%"
"2019년 07월 22일","1,176.87","1,176.11","1,179.90","1,175.20","0.06%"
"2019년 07월 19일","1,176.11","1,172.78","1,177.02","1,170.39","0.28%"
"2019년 07월 18일","1,172.78","1,180.62","1,184.52","1,172.76","-0.66%"
"2019년 07월 17일","1,180.62","1,179.70","1,183.05","1,177.90","0.08%"
"2019년 07월 16일","1,179.63","1,179.83","1,182.26","1,176.20","-0.07%"
"2019년 07월 15일","1,180.41","1,177.68","1,182.82","1,177.33","0.26%"
"2019년 07월 12일","1,177.32","1,175.16","1,180.77","1,174.20","0.18%"
"2019년 07월 11일","1,175.16","1,176.57","1,178.82","1,170.63","-0.12%"
"2019년 07월 10일","1,176.57","1,183.22","1,183.46","1,175.59","-0.56%"
"2019년 07월 09일","1,183.22","1,180.92","1,185.17","1,178.64","0.19%"
"2019년 07월 08일","1,180.94","1,175.48","1,183.02","1,175.00","0.50%"
"2019년 07월 05일","1,175.02","1,167.77","1,175.68","1,167.14","0.57%"
"2019년 07월 04일","1,168.34","1,170.72","1,172.46","1,167.30","-0.20%"
"2019년 07월 03일","1,170.72","1,167.47","1,173.43","1,166.14","0.28%"
"2019년 07월 02일","1,167.47","1,161.77","1,169.23","1,160.74","0.49%"
"2019년 07월 01일","1,161.77","1,156.43","1,165.52","1,149.40","0.47%"
"2019년 06월 28일","1,156.38","1,158.10","1,159.43","1,154.30","-0.06%"
"2019년 06월 27일","1,157.12","1,154.56","1,158.53","1,152.62","0.21%"
"2019년 06월 26일","1,154.67","1,156.17","1,161.05","1,152.40","-0.13%"
"2019년 06월 25일","1,156.17","1,154.67","1,157.64","1,153.00","0.13%"
"2019년 06월 24일","1,154.67","1,159.58","1,162.00","1,154.35","-0.39%"
"2019년 06월 21일","1,159.20","1,159.52","1,165.20","1,157.01","-0.02%"
"2019년 06월 20일","1,159.42","1,172.94","1,174.30","1,156.47","-1.11%"
"2019년 06월 19일","1,172.48","1,174.87","1,179.33","1,171.55","-0.20%"
"2019년 06월 18일","1,174.87","1,186.30","1,188.49","1,173.99","-0.98%"
"2019년 06월 17일","1,186.55","1,186.89","1,188.77","1,185.00","-0.03%"
"2019년 06월 14일","1,186.88","1,182.42","1,187.86","1,181.17","0.30%"
"2019년 06월 13일","1,183.32","1,184.43","1,188.08","1,181.75","-0.02%"
"2019년 06월 12일","1,183.53","1,178.38","1,184.76","1,177.98","0.37%"
"2019년 06월 11일","1,179.21","1,184.02","1,186.60","1,178.50","-0.41%"
"2019년 06월 10일","1,184.02","1,181.84","1,188.51","1,180.50","0.16%"
"2019년 06월 07일","1,182.07","1,178.67","1,187.35","1,177.75","0.29%"
"2019년 06월 06일","1,178.67","1,180.84","1,182.78","1,178.30","-0.18%"
"2019년 06월 05일","1,180.84","1,178.11","1,182.98","1,173.90","0.22%"
"2019년 06월 04일","1,178.26","1,179.42","1,184.96","1,177.22","-0.12%"
"2019년 06월 03일","1,179.64","1,188.52","1,191.52","1,178.41","-0.77%"
"2019년 05월 31일","1,188.80","1,189.73","1,194.28","1,188.47","-0.08%"
"2019년 05월 30일","1,189.73","1,194.03","1,194.65","1,187.86","-0.36%"
"2019년 05월 29일","1,194.03","1,188.94","1,197.10","1,187.67","0.43%"
"2019년 05월 28일","1,188.94","1,184.54","1,190.43","1,183.29","0.37%"
"2019년 05월 27일","1,184.55","1,186.20","1,187.80","1,182.65","-0.10%"
"2019년 05월 24일","1,185.77","1,189.80","1,192.15","1,185.53","-0.34%"
"2019년 05월 23일","1,189.80","1,191.66","1,195.15","1,188.30","-0.08%"
"2019년 05월 22일","1,190.78","1,192.19","1,197.01","1,187.61","-0.17%"
"2019년 05월 21일","1,192.78","1,195.24","1,197.31","1,191.90","-0.16%"
"2019년 05월 20일","1,194.73","1,194.61","1,195.33","1,191.05","0.00%"
"2019년 05월 17일","1,194.73","1,192.33","1,196.86","1,189.64","0.20%"
"2019년 05월 16일","1,192.33","1,186.79","1,194.00","1,186.61","0.47%"
"2019년 05월 15일","1,186.79","1,187.82","1,192.45","1,186.12","-0.09%"
"2019년 05월 14일","1,187.82","1,188.78","1,190.70","1,185.05","-0.08%"
"2019년 05월 13일","1,188.78","1,175.20","1,191.10","1,175.20","1.16%"
"2019년 05월 10일","1,175.20","1,180.09","1,183.98","1,173.78","-0.41%"
"2019년 05월 09일","1,180.09","1,173.11","1,186.36","1,171.30","0.60%"
"2019년 05월 08일","1,173.10","1,173.22","1,174.11","1,167.90","0.06%"
"2019년 05월 07일","1,172.35","1,168.28","1,173.92","1,165.74","0.27%"
"2019년 05월 06일","1,169.15","1,164.34","1,174.74","1,164.33","0.41%"
"2019년 05월 03일","1,164.33","1,166.81","1,172.43","1,163.96","-0.23%"
"2019년 05월 02일","1,167.06","1,165.63","1,168.34","1,161.30","0.11%"
"2019년 05월 01일","1,165.73","1,164.25","1,166.59","1,160.67","0.13%"
"2019년 04월 30일","1,164.25","1,159.89","1,169.78","1,159.23","0.38%"
"2019년 04월 29일","1,159.88","1,158.99","1,161.88","1,157.25","0.08%"
"2019년 04월 26일","1,158.90","1,160.01","1,163.00","1,157.10","-0.10%"
"2019년 04월 25일","1,160.01","1,156.05","1,166.29","1,156.05","0.34%"
"2019년 04월 24일","1,156.05","1,143.06","1,158.35","1,142.88","1.13%"
"2019년 04월 23일","1,143.11","1,140.99","1,145.65","1,139.46","0.19%"
"2019년 04월 22일","1,140.99","1,135.92","1,143.71","1,135.49","0.39%"
"2019년 04월 19일","1,136.58","1,137.61","1,138.60","1,135.92","-0.05%"
"2019년 04월 18일","1,137.11","1,131.78","1,138.51","1,131.53","0.43%"
"2019년 04월 17일","1,132.28","1,137.69","1,138.60","1,131.80","-0.48%"
"2019년 04월 16일","1,137.69","1,135.10","1,138.66","1,134.25","0.23%"
"2019년 04월 15일","1,135.10","1,134.72","1,136.86","1,132.20","0.03%"
"2019년 04월 12일","1,134.72","1,141.96","1,143.81","1,132.70","-0.63%"
"2019년 04월 11일","1,141.96","1,137.97","1,142.74","1,137.40","0.35%"
"2019년 04월 10일","1,137.97","1,141.08","1,144.81","1,137.20","-0.27%"
"2019년 04월 09일","1,141.08","1,143.06","1,144.81","1,139.08","-0.09%"
"2019년 04월 08일","1,142.11","1,137.12","1,146.24","1,135.62","0.39%"
"2019년 04월 05일","1,137.69","1,136.83","1,139.13","1,135.45","0.12%"
"2019년 04월 04일","1,136.33","1,134.17","1,138.36","1,133.00","0.15%"
"2019년 04월 03일","1,134.67","1,137.40","1,138.70","1,133.40","-0.24%"
"2019년 04월 02일","1,137.42","1,133.22","1,138.32","1,132.00","0.33%"
"2019년 04월 01일","1,133.72","1,137.02","1,137.96","1,131.42","-0.32%"
"2019년 03월 29일","1,137.40","1,136.00","1,138.79","1,135.20","0.13%"
"2019년 03월 28일","1,135.95","1,139.24","1,140.42","1,135.50","-0.29%"
"2019년 03월 27일","1,139.24","1,135.87","1,139.94","1,133.85","0.30%"
"2019년 03월 26일","1,135.87","1,132.86","1,136.55","1,130.90","0.27%"
"2019년 03월 25일","1,132.86","1,135.82","1,137.30","1,132.00","-0.29%"
"2019년 03월 22일","1,136.11","1,128.41","1,138.74","1,127.93","0.68%"
"2019년 03월 21일","1,128.41","1,126.05","1,130.87","1,124.51","0.21%"
"2019년 03월 20일","1,126.05","1,130.89","1,132.90","1,123.70","-0.43%"
"2019년 03월 19일","1,130.96","1,132.52","1,134.30","1,128.60","-0.14%"
"2019년 03월 18일","1,132.52","1,135.05","1,137.43","1,131.00","-0.28%"
"2019년 03월 15일","1,135.70","1,136.42","1,140.31","1,132.45","-0.06%"
"2019년 03월 14일","1,136.42","1,130.50","1,137.79","1,129.90","0.52%"
"2019년 03월 13일","1,130.50","1,128.44","1,134.66","1,127.50","0.18%"
"2019년 03월 12일","1,128.44","1,131.77","1,132.69","1,127.40","-0.29%"
"2019년 03월 11일","1,131.77","1,134.10","1,137.40","1,131.10","-0.19%"
"2019년 03월 08일","1,133.90","1,134.87","1,138.03","1,132.16","-0.09%"
"2019년 03월 07일","1,134.87","1,128.38","1,135.90","1,126.80","0.58%"
"2019년 03월 06일","1,128.38","1,125.81","1,130.77","1,125.50","0.23%"
"2019년 03월 05일","1,125.81","1,126.46","1,129.48","1,125.28","-0.06%"
"2019년 03월 04일","1,126.46","1,127.66","1,128.36","1,123.75","-0.11%"
"2019년 03월 01일","1,127.67","1,125.60","1,128.22","1,124.10","0.16%"
"2019년 02월 28일","1,125.90","1,118.50","1,126.77","1,117.10","0.69%"